Thématique,N°Asso.,Nom association,Nature subv.,Titre du projet,"N°
DCM","DCM
Date", Accordé ,"Conv°
Lettre engagement",SIRET, Nature , Modalités de paiement 
INTERNATIONAL,2984,COUP DE SOLEIL LANGUEDOC-ROUSSILLON ASSOCIATION CULTURELLE FRANCE MAGHREB CA2984!,Projet,CUISINE MEDITERANNÉENNES ET ARTS,V2018-513,19/12/2018,300 €,En attente réception,49394487000010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3022,REVUE SOUFFLES / LES ECRIVAINS MEDITERRANEENS CA3022!,Fonctionnement,,V2018-508,19/12/2018,500 €,En attente réception,37856467800027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3064,LACHE LES MOTS CA3064!,Fonctionnement,,V2018-508,19/12/2018,900 €,En attente réception,47801880700071,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3073,LES FOURMIS ROUSSES CA3073!,Fonctionnement,,V2018-508,19/12/2018,"1,500 €",En attente réception,47999244800023,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3081,BLEU VERTIGE CA3081!,Fonctionnement,,V2018-488,19/12/2018,"3,300 €",En attente réception,40235409600057,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3081,BLEU VERTIGE CA3081!,Projet,DÉCOUVERTE DE L ESCALADE,V2018-488,19/12/2018,"2,500 €",En attente réception,40235409600057,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / AIDE ALIMENTAIRE,3090,INITIATIVE SOLIDARITE SITUATIONS URGENCE SOCIALE - ISSUE CA3090!,Fonctionnement,,V2018-493,19/12/2018,"13,000 €",En attente réception,39334525100036,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,3104,ETRE EN SCENE CA3104!,Fonctionnement,,V2018-508,19/12/2018,"6,500 €",En attente réception,40054197500043,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CAISSE DES ECOLES,3112,CAISSE DES ECOLES DE LA VILLE DE MONTPELLIER CA3112!,Projet,PROGRAMME DE RÉUSSITE ÉDUCATIVE,V2018-517,19/12/2018,"197,300 €",Reçue,26340035000025,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SANTE,3138,SOS HEPATITES CA3138!,Projet,UNE SEMAINE CONTRE LES HÉPATITES EDITION 2019,V2018-510,19/12/2018,"1,500 €",En attente réception,41391702200050,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3140,A CONTRE POIL DU SENS CA3140!,Fonctionnement,,V2018-508,19/12/2018,"3,200 €",En attente réception,47923444500027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3156,PRIMESAUTIER THEATRE CA3156!,Fonctionnement,.,V2018-508,19/12/2018,"2,000 €",En attente réception,45085944200052,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3160,"ASSOCIATION DES QUARTIERS DES MARELS II, PERGOLA, AIGUELONGUE CA3160!",Projet,SPORTS,V2018-488,19/12/2018,"1,700 €",En attente réception,50772508300012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3160,"ASSOCIATION DES QUARTIERS DES MARELS II, PERGOLA, AIGUELONGUE CA3160!",Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,50772508300012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3252,ASSOCIATION ACHLES CA3252!,Fonctionnement,,V2018-508,19/12/2018,"3,800 €",En attente réception,47938585800044,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / EXCLUSION,3254,SANTE ET SOLIDARITE CA3254!,Fonctionnement,,V2018-495,19/12/2018,"1,500 €",En attente réception,48517397500015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3283,COMPAGNIE LES TETES DE BOIS CA3283!,Fonctionnement,,V2018-508,19/12/2018,"4,000 €",En attente réception,47756528700034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3283,COMPAGNIE LES TETES DE BOIS CA3283!,Projet,LA VISITE DE LA VIEILLE,V2018-508,19/12/2018,"3,000 €",En attente réception,47756528700034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3311,CIA INESPERADA CA3311!,Fonctionnement,,V2018-508,19/12/2018,"2,800 €",En attente réception,43347767600046,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3314,BLABLA PRODUCTION CA3314!,Fonctionnement,,V2018-508,19/12/2018,"2,000 €",En attente réception,48189298200036,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,3317,SPHERES SOINS PALLIATIFS HOPITAL ET RESEAUX EXTERNES DE SANTE CA3317!,Fonctionnement,,V2018-510,19/12/2018,"1,800 €",En attente réception,47851027400036,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / AIDE ALIMENTAIRE,3318,ASSOCIATION NATIONALE LE REFUGE CA3318!,Fonctionnement,,V2018-493,19/12/2018,"1,800 €",En attente réception,44963103500036,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3324,CERCLE DES ANCIENS DE L'ETOILE BLEUE DE MONTPELLIER CA3324!,Fonctionnement,,V2018-483,19/12/2018, 400 € ,En attente réception,39194005000001,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / DROIT DES FEMMES,3359,MOUVEMENT DU NID CA3359!,Fonctionnement,,V2018-510,19/12/2018,"6,800 €",En attente réception,77572374500045,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
URBANISME ET AMENAGEMENT DURABLE / ECOMOBILITE,3366,VELOCITE LANGUEDOC CA3366!,Fonctionnement,,V2018-517,19/12/2018,800 €,En attente réception,75257756900011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3403,ASSO INTERNATIONALE SAINT ROCH DE MONTPELLIER CA3403!,Projet,RENCONTRES ET FÊTES INTERNATIONALES ST ROCH MONTPELLIER,V2018-508,19/12/2018,"15,000 €",En attente réception,51021327500017,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,3426,LA MENTIRA CA3426!,Fonctionnement,,V2018-508,19/12/2018,"2,000 €",En attente réception,45265046800047,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3426,LA MENTIRA CA3426!,Projet,UN AGE CERTAIN,V2018-508,19/12/2018,500 €,En attente réception,45265046800047,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3440,COMITE DE QUARTIER DE TOURNEZY CA3440!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75326229400014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3455,ARTEFACTDANSE CA3455!,Projet,IMPACT FESTIVAL MONTPELLIER DANSE,V2018-508,19/12/2018,500 €,En attente réception,38020598900045,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3471,COMPAGNIE DES NUITS PARTAGEES CA3471!,Fonctionnement,,V2018-508,19/12/2018,"2,000 €",En attente réception,44046586200025,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,3527,GROUPE DES APHASIQUES DE MONTPELLIER ET DE L'HERAULT CA3527!,Fonctionnement,,V2018-510,19/12/2018,300 €,En attente réception,48806624200022,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,3536,LES AMIS DE LA MEMOIRE PEDAGOGIQUE CA3536!,Fonctionnement,,V2018-486,19/12/2018,200 €,En attente réception,48133067800014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ECONOMIE / DEV ECO COMMERCIAL,3546,LES VOIES DES PALAIS CA3546!,Fonctionnement,,V2018-504,19/12/2018,"1,200 €",Reçue,75389821200018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3564,JAZZ CLUB MONTPELLIER JCM CA3564!,Fonctionnement,,V2018-508,19/12/2018,"1,300 €",En attente réception,50434366600013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3568,MONTPELLIER BASKET MOSSON CA3568!,Fonctionnement,,V2018-488,19/12/2018,"20,000 €",En attente réception,44783253600034,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,3568,MONTPELLIER BASKET MOSSON CA3568!,Projet,TOURNOI INTERNATIONALE,V2018-488,19/12/2018,"1,000 €",En attente réception,44783253600034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3568,MONTPELLIER BASKET MOSSON CA3568!,Projet,STAGE DE BASKET-BALL,V2018-488,19/12/2018,"2,700 €",En attente réception,44783253600034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3632,CERCLE CULTUREL AMIS DE MALTE DU LR ET AMICALE ANCIENS DE TUNISIE CA3632!,Fonctionnement,,V2018-483,19/12/2018," 1,200 € ",En attente réception,48968779800012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3634,ECOLE DE BOWLING DE MONTPELLIER CA3634!,Fonctionnement,,V2018-488,19/12/2018,"1,700 €",En attente réception,42880951100010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3634,ECOLE DE BOWLING DE MONTPELLIER CA3634!,Projet,STAGE D'INITIATION BOWLING DANS LE CADRE DE MONTPELLIER SPORT,V2018-488,19/12/2018,"3,200 €",En attente réception,42880951100010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3636,ASSOCIATION MONTPELLIERAINE POUR UN JUDAISME HUMANISTE ET LAIQUE CA3636!,Fonctionnement,,V2018-508,19/12/2018,800 €,En attente réception,75372679300015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3659,MONTPELLIER MEDITERRANEE METROPOLE TAEKWONDO CA3659!,Fonctionnement,,V2018-488,19/12/2018,"10,200 €",En attente réception,79368457200019,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,3659,MONTPELLIER MEDITERRANEE METROPOLE TAEKWONDO CA3659!,Projet,MONTPELLIER KIDS TOURNAMENT,V2018-488,19/12/2018,"1,000 €",En attente réception,79368457200019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3659,MONTPELLIER MEDITERRANEE METROPOLE TAEKWONDO CA3659!,Projet,PARTENARAIT SPORT VACANCES,V2018-488,19/12/2018,"4,500 €",En attente réception,79368457200019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3671,CROUS - PASS'CULTURE CA3671!,Projet,YOOT,V2018-508,19/12/2018,"17,000 €",En attente réception,18340008400012,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,3675,ESSOR SAVOIRS ET PARTAGE CA3675!,Fonctionnement,,V2018-489,19/12/2018,"4,000 €",En attente réception,43980153100047,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3679,BOUT'ENTRAIN CA3679!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75216212300018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3679,BOUT'ENTRAIN CA3679!,Projet,BOUT EN TRAIN FAIT SON CINÉMA,V2018-483,19/12/2018, 700 € ,En attente réception,75216212300018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,3680,COMITE DE QUARTIER MION ASSOCIATION CA3680!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75243043900014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3745,ASSOCIATION CHRETIENS ET CULTURES CA3745!,Projet,"""22IÈME FESTIVAL CHRÉTIEN DU CINÉMA "" UN TICKET POUR LE PARADIS! ",V2018-508,19/12/2018,"8,000 €",En attente réception,42003703800015,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,3745,ASSOCIATION CHRETIENS ET CULTURES CA3745!,Projet,20IÈME FESTIVAL INTERRELIGIEUX DE MUSIQUES SACRÉES ,V2018-508,19/12/2018,"15,000 €",En attente réception,42003703800015,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,3746,ASSOCIATION UNI'SONS CA3746!,Fonctionnement,,V2018-508,19/12/2018,"5,000 €",En attente réception,41196864700049,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,3746,ASSOCIATION UNI'SONS CA3746!,Projet,LES JEUNES VOIX D'ARABESQUES,V2018-486,19/12/2018,"1,000 €",En attente réception,41196864700049,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3762,ICE ROLLER SCHOOL MONTPELLIER CA3762!,Projet,ICE ROLLER SCHOOL MONTPELLIER,V2018-488,19/12/2018,"1,500 €",En attente réception,48787288900026,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,3777,CITE CITOYENNE CA3777!,Fonctionnement,,V2018-486,19/12/2018,"1,400 €",En attente réception,50071297100026,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3808,MONTPELLIER CULTURE SPORT ADAPTE MCSA. CA3808!,Fonctionnement,,V2018-488,19/12/2018,"3,200 €",En attente réception,44103322200023,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3808,MONTPELLIER CULTURE SPORT ADAPTE MCSA. CA3808!,Projet,CHACUN SA FOULEE,V2018-488,19/12/2018,500 €,En attente réception,44103322200023,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,3833,MONTPELLIER LANGUEDOC CYCLISME CA3833!,Fonctionnement,,V2018-488,19/12/2018,"3,600 €",En attente réception,44894104700038,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3833,MONTPELLIER LANGUEDOC CYCLISME CA3833!,Projet,STAGE TETE ET JAMBES,V2018-488,19/12/2018,"2,500 €",En attente réception,44894104700038,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3845,BALTHAZAR CENTRE DES ARTS DU CIRQUE CA3845!,Projet,SPORT POUR TOUS,V2018-488,19/12/2018,"2,000 €",En attente réception,38212441000038,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3845,BALTHAZAR CENTRE DES ARTS DU CIRQUE CA3845!,Fonctionnement,,V2018-508,19/12/2018,"15,000 €",En attente réception,38212441000038,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / DROIT DES FEMMES,3855,MOUVEMENT CITOYENNES MAINTENANT CA3855!,Fonctionnement,LÉGALITÉ FILLE GARÇON C' EST BON POUR LES DROITS DE L ENFANT ,V2018-510,19/12/2018,500 €,En attente réception,43174918300015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / DROIT DES FEMMES,3855,MOUVEMENT CITOYENNES MAINTENANT CA3855!,Projet,LÉGALITÉ FILLE GARÇON C' EST BON POUR LES DROITS DE L ENFANT ,V2018-510,19/12/2018,500 €,En attente réception,43174918300015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,3873,SERVICE DES TRADUCTEURS D'URGENCE STU CA3873!,Fonctionnement,,V2018-495,19/12/2018,"2,000 €",En attente réception,41138989300032,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ENFANCE,3901,HALTE POUCE CA3901!,Projet,ENFANCE ACCOMPAGNEMENT HANDICAP,V2018-498,19/12/2018,"3,500 €",Reçue,48434516000085,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,3901,HALTE POUCE CA3901!,Projet,REUSSITE EDUCATIVE HANDICAP,V2018-486,19/12/2018,"3,500 €",En attente réception,48434516000085,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,3914,MONTPELLIER METROPOLE HOCKEY CLUB CA3914!,Projet,STAGE MONTPELLIER SPORT,V2018-488,19/12/2018,"2,700 €",En attente réception,44762798500016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,3932,"ASSOCIATION DES CEVENNES INSERTION, LOISIRS ET EDUCATION - ACLE CA3932!",Fonctionnement,,V2018-486,19/12/2018,"8,200 €",En attente réception,39784666800010,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,3933,MONTPELLIER ROLLER HOCKEY CLUB MRHC CA3933!,Fonctionnement,,V2018-488,19/12/2018,"6,300 €",En attente réception,41374715500021,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
VIE ASSOCIATIVE,3940,MARE NOSTRUM CA3940!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,78866559400016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3961,COMPAGNIE AURELIA CA3961!,Fonctionnement,,V2018-508,19/12/2018,"5,000 €",En attente réception,41893622500022,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3988,MAISON DE LA POESIE JEAN JOUBERT CA3988!,Fonctionnement,,V2018-508,19/12/2018,"7,000 €",En attente réception,48538909200019,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,3988,MAISON DE LA POESIE JEAN JOUBERT CA3988!,Projet,LE PRINTEMPS DES POÈTES À MONTPELLIER,V2018-508,19/12/2018,"5,000 €",En attente réception,48538909200019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,3996,ENSEMBLE CHORAL UNIVERSITAIRE DE MONTPELLIER ECUME CA3996!,Fonctionnement,,V2018-508,19/12/2018,"3,000 €",En attente réception,41292206400016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4010,L'AUTRE THEATRE CA4010!,Fonctionnement,,V2018-508,19/12/2018,"1,900 €",En attente réception,49945502000010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4011,ATOUT CHOEUR CA4011!,Fonctionnement,,V2018-508,19/12/2018,800 €,En attente réception,48933615600018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,4012,MONTPELLIER AGGLOMERATION FUTSAL CA4012!,Fonctionnement,,V2018-488,19/12/2018,"3,000 €",En attente réception,42087589000055,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,4012,MONTPELLIER AGGLOMERATION FUTSAL CA4012!,Projet,SPORT,V2018-488,19/12/2018,"2,700 €",En attente réception,42087589000055,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,4038,CLUB PYRAMIDE PHILAE 34 CA4038!,Fonctionnement,,V2018-483,19/12/2018, 300 € ,En attente réception,78851220000015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,4048,VISITE MALADES ETABLISSEMENTS HOSPITALIERS VMEH CA4048!,Fonctionnement,,V2018-495,19/12/2018,"1,500 €",En attente réception,50275791700013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,4141,MUC RANDONNEE PEDESTRE CA4141!,Fonctionnement,,V2018-488,19/12/2018,450 €,En attente réception,83471491700012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,4145,MUC BASKET CA4145!,Fonctionnement,,V2018-488,19/12/2018,"1,000 €",En attente réception,38820857100025,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / COHESION SOCIALE,4163,VIA VOLTAIRE CA4163!,Fonctionnement,,V2018-495,19/12/2018,"10,000 €",En attente réception,40917988400039,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,4176,MONTPELLIER MEDITERRANEE METROPOLE NATATION ARTISTIQUE.  CA4176!,Fonctionnement,,V2018-488,19/12/2018,"5,900 €",En attente réception,41374632200051,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,4191,ILLUSION ET MACADAM CA4191!,Fonctionnement,,V2018-508,19/12/2018,"18,000 €",En attente réception,44044142600077,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,4191,ILLUSION ET MACADAM CA4191!,Projet,FESTIVAL TROPISME,V2018-508,19/12/2018,"38,000 €",En attente réception,44044142600077,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
VIE ASSOCIATIVE,4203,OPIFAC CA4203!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75395194600049,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,4207,ALCOOL ET LES PROCHES CA4207!,Fonctionnement,,V2018-510,19/12/2018,400 €,En attente réception,50996498700010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4214,U STRUCTURE NOUVELLE CA4214!,Fonctionnement,,V2018-508,19/12/2018,"7,500 €",En attente réception,48466927000023,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
VIE ASSOCIATIVE,4250,COMITE DE QUARTIER SAINT CLEMENT CA4250!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,48042502400019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,4265,ATTITUDE CA4265!,Projet,STAGES SKATEBOARD ET BMX,V2018-488,19/12/2018,"1,200 €",En attente réception,41157249800029,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4265,ATTITUDE CA4265!,Fonctionnement,,V2018-508,19/12/2018,"40,000 €",En attente réception,41157249800029,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,4265,ATTITUDE CA4265!,Projet,BATTLE OF THE YEAR FRANCE 2019,V2018-508,19/12/2018,"20,000 €",En attente réception,41157249800029,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / SOLIDARITE,4279,J'OSE LIRE ET CLAIR DE PLUME CA4279!,Projet,AU FIL DES CONTES : LES ANIMAUX NOS AMIS,V2018-495,19/12/2018,800 €,En attente réception,41428433100017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,4279,J'OSE LIRE ET CLAIR DE PLUME CA4279!,Projet,JOURNÉE DU FESTIVAL DU CONTE INTERGÉNÉRATIONNEL,V2018-495,19/12/2018,700 €,En attente réception,41428433100017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,4291,SPORT INSERTION JEUNES MONTPELLIER CA4291!,Fonctionnement,,V2018-488,19/12/2018,500 €,En attente réception,41908772100017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,4291,SPORT INSERTION JEUNES MONTPELLIER CA4291!,Projet,PARTENARIAT,V2018-488,19/12/2018,"1,500 €",En attente réception,41908772100017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ECONOMIE / DEV ECO COMMERCIAL,4309,CENTRE TECHNIQUE REGIONAL DE LA CONSOMMATION CA4309!,Fonctionnement,,V2018-504,19/12/2018,"1,500 €",Reçue,77606004800035,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,4339,ASSOCIATION DE QUARTIER PUECH VILLA LES BASTIDES CA4339!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,42312962600010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4364,EXIT COMPAGNIE CA4364!,Fonctionnement,,V2018-508,19/12/2018,"6,500 €",En attente réception,44493154700053,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,4377,PULX CA4377!,Fonctionnement,,V2018-508,19/12/2018,"2,000 €",En attente réception,48252835300048,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4377,PULX CA4377!,Projet,DISTRICT DANSE,V2018-508,19/12/2018,500 €,En attente réception,48252835300048,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,4380,AQUALOVE SAUVETAGE CA4380!,Projet,ENSEIGNER LES 1ER SECOURS AUX ENFANTS,V2018-488,19/12/2018,"2,500 €",En attente réception,48071410400035,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,4388,LE PASSE MURAILLE CA4388!,Projet,ATELIERS JEUNESSE- JARDINS ET AJRDINS PARTAGÉS,V2018-486,19/12/2018,850 €,En attente réception,42121708400019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4389,ARDEC CA4389!,Fonctionnement,,V2018-508,19/12/2018,"10,000 €",En attente réception,40918368800020,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
